"","life_expectancy","radio_television_per_cap","log_population","civil_war","year","country_name","international_war","urban_population_pct","oil_production_per_cap","inequality_gini","gdp_per_cap","inflation","region_name","education15","government_effectiveness","political_stability","polity","healthcare","womens_civ_lib","media_censorship","internet_access"
"703",65.2,-1.77627696239824,13.9173949883805,-2,1999,NA,-2,53.8405803678995,391.43184,35.2999992370605,2634.61010742188,-0.45280408859253,NA,6.22377014160156,-3.06513413179358,-3.08546036201624,-9,-3.18445195269191,-1.48665765190027,-3.05080220156065,-2
"708",66.7,-1.78095898945158,13.9600687348915,-2,2004,NA,-2,3.30748607869752,1842.1451,48.7999992370605,5803.47021484375,6.37406349182129,NA,6.94506454467773,-2.67500072717667,-3.0848388671875,-9,-3.45464173929514,-1.48257983444439,-4.0809236800777,-2
"779",42.43,-2,13.172221153031,-2,1974,NA,-2,0,-2,31.774864746068,563.780029296875,4.85655164718628,NA,-0.27984011173248,-3.835780190603,-3.41648086281587,-9,-1.55589700721842,-1.76594178075064,-3.37057603024735,-2
"784",44.22,-2,13.2706598377227,-2,1979,NA,-2,0,-2,40.6098732104356,640.070007324219,10.1673946380615,NA,-0.82564401626587,-2.94306564233021,-2.28892892645543,-9,-1.07245715048697,-1.73618736005438,-3.03663707458845,-2
"789",45.05,-1.99975467159674,13.4370259629806,-2,1984,NA,-2,0,-2,40.974994125177,681.880004882812,-0.32432436943054,NA,-0.77471029758453,-3.6113615922235,-2.2656668453332,-9,-1.07245715048697,-1.6544025215882,-3.03663707458845,-2
"794",43.4,-1.99898014899813,13.5665165025502,-1,1989,NA,-2,1.20000000000005,-2,33.527674596438,720.580017089844,6.99693870544434,NA,-0.39339435100555,-3.39350300301774,-3.83447278787543,-9,-0.77477487768516,-1.67139271918851,-3.1580965675901,-2
"799",42.3,-1.99499149653178,13.6329501845202,-1,1994,NA,-2,3.20000000000005,-2,36.9666659037275,515.299987792969,24.4367809295654,NA,0.21726369857788,-3.72685706615448,-4.24305176734924,-7,-0.39736481604657,-1.68385862196116,-1.61256329995794,-2
"804",46.4,-2,13.7031398988248,-1,1999,NA,-2,5.44175737869618,-2,39.7999992370605,490.339996337891,7.24297142028809,NA,0.77330923080444,-3.33891416798917,-4.18870373787108,0,-0.39736481604657,-1.65023556338456,-1.79606857797541,-1
"809",54.4,-2,13.8441180418965,-2,2004,NA,-2,19.5096377399707,-2,31.3600006103516,473.399993896484,0.80901503562927,NA,1.07737588882446,-3.0844954252243,-3.3966498374939,4,-0.29208145503575,-1.65023556338456,-2.25106252318069,-1
"896",70.05,-1.64969874963065,14.0927400166176,-2,1974,NA,-2,50,-2,39.5999984741211,13120.3095703125,7.15868854522705,NA,6.35599994659424,-1.22748726972119,-0.724390358160876,8,0.99431562806787,-1.02298889851738,0.6301225953852,-2
"901",71.59,-1.60874735930445,14.1017904100702,-2,1979,NA,-2,56,-2,25.466667175293,14276.75,6.14464092254639,NA,6.75699996948242,-0.917069773737428,-1.15716855781348,8,0.99431562806787,-1.02298889851738,0.6301225953852,-2
"906",72.61,-1.59028193127517,14.1071285515712,-2,1984,NA,-2,66,-2,23.7333335876465,15193.400390625,-0.7039999961853,NA,7.14200019836426,-0.940638486517455,-1.6290145384593,8,0.99431562806787,-1.02298889851738,0.6301225953852,-2
"911",74.2,-1.54938242206801,14.1139931371447,-2,1989,NA,-2,77.5,-2,23.0500001907349,17448.630859375,1.16700005531311,NA,7.51599979400635,-0.517750433497758,-0.923334075563421,8,0.99431562806787,-1.02298889851738,1.70480436524731,-2
"916",75.2,-1.53582975428162,14.1269640501999,-2,1994,NA,-2,90,-2,26,18485.359375,-0.2059999704361,NA,7.8459997177124,-0.18529200553894,-0.78880417346954,8,0.99431562806787,-1.02298889851738,1.70480436524731,-1
"921",76,-1.39512547483658,14.1405844711274,-2,1999,NA,-2,82.5322783745049,-2,26,20918.25,0.43700003623962,NA,8.1679992675781,0.0740725024805027,-0.758582008464628,8,0.99431562806787,-1.02298889851738,1.70480436524731,-1
"926",77.5,-1.43737855118442,14.1641672660767,-2,2004,NA,-2,93.2345071092205,-2,26.0300006866455,22865.01953125,0.33800005912781,NA,8.4579992294312,-0.28418517112732,-1.1517698764801,8,0.99431562806787,-1.02298889851738,1.70480436524731,-1
"1013",45.46,-1.9752945464649,12.9906432968954,-2,1974,NA,-2,9.4,-2,35.1749990636652,981.280029296875,53.3574261278723,NA,-1.22799998521805,-3.54194690240204,-2.77157489597256,-9,-2.41022581334671,-1.28223805638441,-2.69459220069384,-2
"1018",47.84,-1.99804034256586,13.1193602080757,-2,1979,NA,-2,10.6,-2,35.0499992370605,1154.2099609375,-31.4121389515975,NA,-1.00199997425079,-3.03284444619397,-3.11057008727276,-9,-2.41022581334671,-1.28223805638441,-2.69459220069384,-2
"1023",51.09,-1.99617331109616,13.2743642498544,-2,1984,NA,-2,11.6,14.849071,34.9249994104559,1244.32995605469,630.240847598279,NA,-0.61199998855591,-3.41852339748363,-1.63158615298815,-9,-2.41022581334671,-1.28223805638441,-2.69459220069384,-2
"1028",54.3,-1.98909543794562,13.4212440775998,-2,1989,NA,-2,19.1999999999998,6.1029523,34.7999995838512,1151.08996582031,-19.1722283846108,NA,-0.24399995803833,-2.04556654561674,-1.28440529658803,4,-1.93162221819142,-1.06698800174563,0.29164939118384,-2
"1033",54.6,-1.9900700868559,13.5927710566116,-2,1994,NA,-2,31.1999999999998,0.352309,34.6749997572465,1190.81994628906,2.91423988342285,NA,0.03600001335144,-2.4083731174469,-1.0399928689003,4,-1.93162221819142,-1.06764088614666,0.29164939118384,-2
"1038",55.4,-2,13.7440036206282,-2,1999,NA,-2,39.1859614640325,-0.5796441,34.5499999306419,1303.44995117188,1.98429536819458,NA,0.29999995231628,-2.42405232802382,-1.16856555535305,4,-1.93162221819142,-1.06764088614666,0.44255458456264,-1
"1043",56.9,-1.94389997076119,13.9108510390241,-2,2004,NA,-2,16.7532586958548,-2,34.5,1346.16003417969,1.78217697143555,NA,0.5,-2.56687188148498,-1.48288804292679,5,-1.03920847145061,-1.0739080564836,-1.1070106090955,-1
"1096",41.74,-1.99980268910693,13.6656207873123,-2,1974,NA,-2,1.80000000000001,-2,35.2946314560079,650.450012207031,-10.3999996185303,NA,-1.90499458462,-3.22571565205686,-2.74169600009018,-6,-0.25174391511582,-1.31659977669003,-2.12668035326141,-2
"1101",46.58,-1.99783295021724,13.7696044571711,-2,1979,NA,-2,3.79999999999995,-2,16.992413601948,742.429992675781,5.55999994277954,NA,-1.79120576381683,-3.04431151885992,-2.20899136893175,-9,-0.25174391511582,-1.28878029641067,-2.11770425049932,-2
"1106",49.28,-1.99512729651546,13.8991087985886,-2,1984,NA,-2,6.79999999999995,-2,20.4628868050517,876.299987792969,-4.60999989509583,NA,-1.67222753167152,-2.36277099423129,-2.02504488781105,-9,-0.25174391511582,-1.23297001222081,-2.11770425049932,-2
"1111",49.4,-1.99447868252233,14.0238050921638,-2,1989,NA,-2,7.69999999999999,-2,32.7595600879715,849.630004882812,0.5,NA,-1.48976230621338,-2.76934476580866,-2.25187168057633,-7,-0.6390306633293,-1.18953017672624,-2.40260277757486,-2
"1116",49.5,-1.99142079481213,14.1698603012402,-2,1994,NA,-2,7.19999999999999,-2,41.7666664123535,885.989990234375,4.17000007629395,NA,-1.36890894174576,-3.0230165719986,-2.41400000452995,-7,-0.6390306633293,-1.17432787019333,-1.32865410344913,-1
"1121",51.2,-2,14.3042192209316,-2,1999,NA,-2,28.6505165224492,-2,43.019999694824,1000.64001464844,3.01000022888184,NA,-1.01552844047546,-2.79691416611967,-2.26024208455076,-2,-0.6390306633293,-1.17432787019333,-0.92398373882537,-1
"1126",54.6,-1.87301053276453,14.4704821526592,-2,2004,NA,-2,43.8286481157003,-2,37.5,1140.09997558594,0.32999992370605,NA,-0.53272497653961,-2.7430961728096,-1.8536956012249,-2,-0.6390306633293,-1.19233125857138,-0.92398373882537,-1
"1142",46.92,-1.99959937569071,16.2211274612853,-2,1974,NA,-2,-0.48459450256734,-2,32.5749988555908,538.960021972656,467.346484639186,NA,-0.22890055179596,-3.14899081560646,-3.39054716779625,-9,-3.47715957680917,-1.40207561337949,-2.44629421634669,-2
"1147",51.72,-1.99889341086344,16.3472566376014,-2,1979,NA,-2,4.79999999999995,-2,37,549.02001953125,-23.5192491369891,NA,-0.00532317161559992,-2.15249375570941,-2.28856129383573,-6,-3.47715957680917,-1.36027303572121,-1.45768065186849,-2
"1152",53.96,-1.99710855291938,16.4745831364812,-2,1984,NA,-2,7.79999999999995,-2,30.2999992370605,589.599975585938,77.5318058708169,NA,0.27501726150513,-2.87234663113103,-2.93489523792405,-7,-3.47715957680917,-1.36027303572121,-1.73804456619594,-2
"1157",54.4,-1.99521780018809,16.5874285571038,-2,1989,NA,-2,10.5,-1.95178025,25.5699996948242,640.369995117188,4.35736417770386,NA,0.83796119689941,-3.12157600146017,-2.97836286924593,4,-3.13061125237099,-1.36027303572121,-1.19042296341233,-2
"1162",60.4,-1.99421633690811,16.6885146992733,-2,1994,NA,-2,13,-1.87522607,36.7000007629395,742.02001953125,0.37712907791138,NA,1.59915351867676,-2.7279931306839,-2.61253947019577,4,-3.13061125237099,-1.36027303572121,-0.97417562170261,-2
"1167",63.4,-1.75992402289756,16.7803711687552,-2,1999,NA,-2,30.1168548969117,-1.75410243,30.0000007629394,883.869995117188,0.00717377662659002,NA,2.36931180953979,-2.67688678840627,-3.23641286035959,4,-3.13061125237099,-1.32285605033572,-0.97417562170261,-1
"1172",65.5,-1.74846229275349,16.8619188851996,-2,2004,NA,-2,30.1595021685131,-1.43540115,31.2000007629395,1070.81005859375,4.76526117324829,NA,2.63609600067139,-2.77154803276062,-3.47621071338654,4,-3.13061125237099,-1.38295880448333,-0.97417562170261,-1
"1259",69.44,-1.77042645454414,13.9802980739536,-2,1974,NA,-2,30.5999999999999,2.9465692,16.1000003814697,5979.85009765625,1039.0619844445,NA,6.19000053405762,-2.8408782403848,-2.68785090089087,-9,0.60917264946381,-1.74516651197272,-4.46524019600812,-2
"1264",69.56,-1.7552803464732,13.9967495890059,-2,1979,NA,-2,41,18.289198,22.3999996185303,6184.4501953125,218.736721515642,NA,6.61999988555908,-2.61627551351842,-2.85111152335624,-9,0.60917264946381,-1.74516651197272,-4.46524019600812,-2
"1269",69.63,-1.73474437433727,13.9943407013678,-2,1984,NA,-2,56,4.655331,20.6000003814697,6377.66015625,0.70000004768372,NA,6.97000026702881,-2.41271877837369,-2.86117040693343,-9,0.60917264946381,-1.74516651197272,-4.46524019600812,-2
"1274",69.3,-1.66078195545619,13.9831496239245,-2,1989,NA,-2,63.2,3.1705514,24.2000007629395,5195.85986328125,336.450012207031,NA,7.33600044250488,-2.56478475520569,-2.14123680262695,6,-0.53332530762419,-1.1843887034843,-0.19003073827678,-2
"1279",68.9,-1.60335889776961,13.9355191656729,-2,1994,NA,-2,65.2,-1.15791407,28.5,4842.27978515625,119.610000610352,NA,7.76599979400635,-2.31079259514809,-2.20449335873127,6,-0.53332530762419,-1.1843887034843,-0.35050696167092,-1
"1284",69.8,-1.65524815059832,13.8883893619127,-2,1999,NA,-2,53.5427682080997,-0.6604362,31.2999992370605,5768.0400390625,5.3600001335144,NA,8.1849994659424,-1.7625673992329,-1.75913122059019,7,-0.53332530762419,-1.11682763185427,-0.49673572394044,-1
"1289",70.7,-1.6054184957571,13.855429520934,-2,2004,NA,-2,66.1861543094068,1.1804526,29.2000007629395,8070.31005859375,5.26000022888184,NA,8.5599994659424,-2.00373780261725,-1.60833343863487,7,-0.54034451279482,-1.11000779027517,-0.49673572394044,-1
"1304",71.8,-1.90479428680277,13.1865456869194,-2,1994,NA,-2,21.2237819860882,-2,27.4500007629395,2138.1201171875,986.526444864217,NA,6.89298074529823,-3.25529205799103,-2.63818567991257,2,-0.24521606521236,-1.46723038715705,-1.86926940162229,-2
"1309",74.2,-1.8053623213676,13.1368273682538,-2,1999,NA,-2,67.314890573871,-2,27.9699993133545,3546.75,119.439129602609,NA,5.88806676864624,-2.99534070839647,-2.62259469315554,-2,-0.76574376191667,-1.228559475035,-1.28947988041082,-1
"1314",75.1,-1.83685650525987,13.1456281409293,-2,2004,NA,-2,42.9937617298275,-2,33.7999992370605,4494.18017578125,4.125,NA,5.95962238311768,-2.59897464513779,-2.41634809970856,8,-0.49398441319527,-1.19760748163139,-1.28947988041082,-1
"1331",66.1,-1.69332088740812,14.1316048099804,-2,1994,NA,-2,46.5623566538892,33.993642,27.5,4828.83984375,50.7099990844727,NA,6.52486610412598,-2.4083731174469,-1.99598106276244,-9,-0.19144757248145,-1.13803338075531,-1.77118634508413,-1
"1336",66,-1.61873898893829,14.1185639412933,-2,1999,NA,-2,59.7393311632703,37.321958,28.5799999237061,6802.259765625,59.1300010681152,NA,7.01331520080566,-2.96056447927749,-1.29447392361077,-9,-0.19144757248145,-1.1571086356731,-3.72753388222853,-1
"1341",67.1,-1.67331446370917,14.0948180168136,-2,2004,NA,-2,54.0360612309901,85.984408,26.2800006866455,10500.3603515625,5.03000020980835,NA,6.88693618774414,-3.17045331001282,-1.86839002370834,-9,-0.19144757248145,-1.21637782336614,-4.05525118727645,-1
"1428",48.93,-1.98629472470411,13.4044203632053,-2,1974,NA,-2,20.8,148.48813,46.5555559794108,2645.03002929688,3.50872802734375,NA,2.83860445022583,-3.34739227546286,-3.33235682129836,-9,-2.52847861932988,-1.75778767061434,-4.19117924941035,-2
"1433",53.04,-1.94096426210922,13.5179783614101,-2,1979,NA,-2,24.7,133.26853,48.0277779897053,2545.06005859375,30.1339988708496,NA,3.35078001022339,-3.01622416696141,-2.33077535534394,-9,-2.52847861932988,-1.66864239117667,-4.63844125602726,-2
"1438",56.96,-1.92256695855637,13.6311071845543,-2,1984,NA,-2,29.2,27.879892,49.5999984741211,2072.0400390625,271.350006103516,NA,3.72476863861084,-1.71360455216553,-1.31313645452992,7,-2.04299153872567,-1.31450863321482,-0.6323069849798,-2
"1443",60.2,-1.88683728985277,13.737601775159,-2,1989,NA,-2,36.4000000000001,33.970023,49.9500007629395,2257.06005859375,20.4130001068115,NA,3.60853481292725,-2.47343961439495,-2.32701804922367,7,-1.72407391763748,-1.31450863321482,-0.6323069849798,-2
"1448",63.1,-1.88442994811745,13.851345633119,-2,1994,NA,-2,45.4000000000001,36.239337,55.7999992370605,2443.93994140625,10.4300003051758,NA,4.20544195175171,-2.18806201219559,-2.24539136886597,7,-1.72407391763748,-1.28825592542163,-0.6323069849798,-1
"1453",66.3,-1.89735008880418,13.9542479566906,-2,1999,NA,-2,17.5217951318535,37.273786,56.689998626709,2539.3798828125,-0.40400004386902,NA,5.25428915023804,-2.26270236111586,-2.6166877834866,7,-1.72407391763748,-1.28825592542163,-0.6323069849798,-1
"1458",68.6,-1.95316966899283,14.0512961223353,-2,2004,NA,-2,49.5453448452834,75.220379,54.7000007629395,2756.73999023438,2.2810001373291,NA,5.37648344039917,-2.64411586523056,-2.82417750358581,6,-2.5175204190257,-1.3265572444373,-0.88270726575436,-1
"1545",60.27,-1.90562812414122,16.5283466832777,-2,1974,NA,-2,32.5999999999999,24.550953,58,4467.6201171875,40.0076141357422,NA,1.93800020217896,-2.58730442984265,-2.09667873309755,-6,-2.60700539163059,-1.5859824473624,-4.81528248732471,-2
